Pays,1990,2000,2010,2020
Bénin,4823,4119,3615,3112
Burkina Faso,7703,7148,6594,6039
Cap-Vert,14,14,14,14
Côte d'Ivoire,7844,5081,3951,2823
Gambie,413,356,298,241
Ghana,9874,8799,7723,7689
Guinée,7236,6884,6517,6132
Guinée-Bissau,2233,2149,2064,1979
Libéria,8524,8213,7902,7590
Mali,13291,13241,12766,12728
Niger,1897,1255,1106,957
Nigeria,26260,24644,23027,21411
Sénégal,9271,8821,8436,8036
Sierra Leone,3120,2922,2718,2514
Togo,1341,1234,1192,1149
